2022-05-18/14:11:39		Reading training file
2022-05-18/23:53:49		There are no null values, thus filling missing values is a success
2022-05-18/23:53:49		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:53:49		Finding outliers is a success
2022-05-18/23:53:49		Entered the replacingOutliers method of the Preprocessor class
2022-05-18/23:53:49		Entered the checkOutliers method of the Preprocessor class
2022-05-18/23:53:49		Finding outliers is a success
2022-05-18/23:53:50		Saving the plot of target data after replacing outliers is a success
2022-05-18/23:53:50		There are no outliers, thus replacing outliers is a success
2022-05-18/23:53:50		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:53:50		Creating New features is a success
2022-05-18/23:53:50		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-18/23:53:50		Creating New features is a success
2022-05-18/23:53:50		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-18/23:53:50		Entered the trainModel method of the Preprocessor class
2022-05-18/23:53:51		Training different models is a success
2022-05-18/23:53:52		Selecting the best parameters using hyperparameter tuning is a success
2022-05-18/23:53:52		Saving the best model
2022-05-18/23:53:52		Entered the predictingTestData method of the Preprocessor class
2022-05-19/11:50:00		Entered the readDataset method of the Preprocessor class
2022-05-19/11:50:00		Reading data is a success
2022-05-19/11:50:00		Entered the readDataset method of the Preprocessor class
2022-05-19/11:50:00		Reading data is a success
2022-05-19/11:50:00		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/11:50:00		Finding missing values is a success
2022-05-19/11:50:00		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/11:50:00		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/11:50:00		Finding missing values is a success
2022-05-19/11:50:00		There are no null values, thus filling missing values is a success
2022-05-19/11:50:00		Entered the checkOutliers method of the Preprocessor class
2022-05-19/11:50:00		Finding outliers is a success
2022-05-19/11:50:00		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/11:50:00		Entered the checkOutliers method of the Preprocessor class
2022-05-19/11:50:00		Finding outliers is a success
2022-05-19/11:50:01		Saving the plot of target data after replacing outliers is a success
2022-05-19/11:50:01		There are no outliers, thus replacing outliers is a success
2022-05-19/11:50:01		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/11:50:01		Creating New features is a success
2022-05-19/11:50:01		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/11:50:01		Creating New features is a success
2022-05-19/11:50:01		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/11:50:01		Entered the trainModel method of the Preprocessor class
2022-05-19/11:50:02		Training different models is a success
2022-05-19/11:50:03		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/11:50:03		Saving the best model
2022-05-19/11:50:03		Entered the predictingTestData method of the Preprocessor class
2022-05-19/13:01:41		Entered the readDataset method of the Preprocessor class
2022-05-19/13:01:41		Reading data is a success
2022-05-19/13:01:43		Entered the readDataset method of the Preprocessor class
2022-05-19/13:01:43		Reading data is a success
2022-05-19/13:01:44		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/13:01:44		Finding missing values is a success
2022-05-19/13:01:45		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/13:01:45		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/13:01:45		Finding missing values is a success
2022-05-19/13:01:45		There are no null values, thus filling missing values is a success
2022-05-19/13:01:46		Entered the checkOutliers method of the Preprocessor class
2022-05-19/13:01:46		Finding outliers is a success
2022-05-19/13:01:48		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/13:01:48		Entered the checkOutliers method of the Preprocessor class
2022-05-19/13:01:48		Finding outliers is a success
2022-05-19/13:01:48		Saving the plot of target data after replacing outliers is a success
2022-05-19/13:01:48		There are no outliers, thus replacing outliers is a success
2022-05-19/13:01:50		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/13:01:50		Creating New features is a success
2022-05-19/13:01:50		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/13:01:50		Creating New features is a success
2022-05-19/13:01:53		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/13:01:56		Entered the trainModel method of the Preprocessor class
2022-05-19/13:01:59		Training different models is a success
2022-05-19/13:02:00		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/13:02:00		Saving the best model
2022-05-19/13:02:03		Entered the predictingTestData method of the Preprocessor class
2022-05-19/13:18:54		Entered the readDataset method of the Preprocessor class
2022-05-19/13:18:54		Reading data is a success
2022-05-19/13:18:54		Entered the readDataset method of the Preprocessor class
2022-05-19/13:18:54		Reading data is a success
2022-05-19/13:18:54		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/13:18:54		Finding missing values is a success
2022-05-19/13:18:54		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/13:18:54		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/13:18:54		Finding missing values is a success
2022-05-19/13:18:54		There are no null values, thus filling missing values is a success
2022-05-19/13:18:54		Entered the checkOutliers method of the Preprocessor class
2022-05-19/13:18:54		Finding outliers is a success
2022-05-19/13:18:54		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/13:18:54		Entered the checkOutliers method of the Preprocessor class
2022-05-19/13:18:54		Finding outliers is a success
2022-05-19/13:18:55		Saving the plot of target data after replacing outliers is a success
2022-05-19/13:18:55		There are no outliers, thus replacing outliers is a success
2022-05-19/13:18:55		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/13:18:55		Creating New features is a success
2022-05-19/13:18:55		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/13:18:55		Creating New features is a success
2022-05-19/13:18:55		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/13:18:55		Entered the trainModel method of the Preprocessor class
2022-05-19/13:18:57		Training different models is a success
2022-05-19/13:18:58		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/13:18:58		Saving the best model
2022-05-19/13:18:58		Entered the predictingTestData method of the Preprocessor class
2022-05-19/14:29:25		Entered the readDataset method of the Preprocessor class
2022-05-19/14:29:25		Reading data is a success
2022-05-19/14:29:25		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/14:29:25		Finding missing values is a success
2022-05-19/14:29:25		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/14:29:25		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/14:29:25		Finding missing values is a success
2022-05-19/14:29:25		There are no null values, thus filling missing values is a success
2022-05-19/14:29:25		Entered the checkOutliers method of the Preprocessor class
2022-05-19/14:29:25		Finding outliers is a success
2022-05-19/14:29:25		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/14:29:25		Entered the checkOutliers method of the Preprocessor class
2022-05-19/14:29:25		Finding outliers is a success
2022-05-19/14:29:26		Saving the plot of target data after replacing outliers is a success
2022-05-19/14:29:26		There are no outliers, thus replacing outliers is a success
2022-05-19/14:29:26		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/14:29:26		Creating New features is a success
2022-05-19/14:29:26		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/14:29:26		Entered the trainModel method of the Preprocessor class
2022-05-19/14:29:27		Training different models is a success
2022-05-19/14:29:27		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/14:29:27		Saving the best model
2022-05-19/14:29:27		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/14:29:27		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/14:34:48		Entered the readDataset method of the Preprocessor class
2022-05-19/14:34:48		Reading data is a success
2022-05-19/14:34:48		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/14:34:48		Finding missing values is a success
2022-05-19/14:34:48		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/14:34:48		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/14:34:48		Finding missing values is a success
2022-05-19/14:34:48		There are no null values, thus filling missing values is a success
2022-05-19/14:34:48		Entered the checkOutliers method of the Preprocessor class
2022-05-19/14:34:48		Finding outliers is a success
2022-05-19/14:34:48		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/14:34:48		Entered the checkOutliers method of the Preprocessor class
2022-05-19/14:34:48		Finding outliers is a success
2022-05-19/14:34:49		Saving the plot of target data after replacing outliers is a success
2022-05-19/14:34:49		There are no outliers, thus replacing outliers is a success
2022-05-19/14:34:49		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/14:34:49		Creating New features is a success
2022-05-19/14:34:49		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/14:34:49		Entered the trainModel method of the Preprocessor class
2022-05-19/14:34:51		Training different models is a success
2022-05-19/14:34:51		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/14:34:52		Saving the best model
2022-05-19/14:34:52		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/14:34:52		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/15:01:16		Entered the readDataset method of the Preprocessor class
2022-05-19/15:01:16		Reading data is a success
2022-05-19/15:01:16		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/15:01:16		Finding missing values is a success
2022-05-19/15:01:16		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/15:01:16		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/15:01:16		Finding missing values is a success
2022-05-19/15:01:16		There are no null values, thus filling missing values is a success
2022-05-19/15:01:16		Entered the checkOutliers method of the Preprocessor class
2022-05-19/15:01:16		Finding outliers is a success
2022-05-19/15:01:16		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/15:01:16		Entered the checkOutliers method of the Preprocessor class
2022-05-19/15:01:16		Finding outliers is a success
2022-05-19/15:01:17		Saving the plot of target data after replacing outliers is a success
2022-05-19/15:01:17		There are no outliers, thus replacing outliers is a success
2022-05-19/15:01:17		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/15:01:17		Creating New features is a success
2022-05-19/15:01:17		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/15:01:17		Entered the trainModel method of the Preprocessor class
2022-05-19/15:01:20		Training different models is a success
2022-05-19/15:01:21		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/15:01:21		Saving the best model
2022-05-19/15:01:21		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/15:01:21		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:43:51		Entered the readDataset method of the Preprocessor class
2022-05-19/16:43:51		Reading data is a success
2022-05-19/16:43:51		Entered the readDataset method of the Preprocessor class
2022-05-19/16:43:51		Reading data is a success
2022-05-19/16:43:51		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:43:51		Finding missing values is a success
2022-05-19/16:43:51		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:43:51		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:43:51		Finding missing values is a success
2022-05-19/16:43:51		There are no null values, thus filling missing values is a success
2022-05-19/16:43:51		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:43:51		Finding outliers is a success
2022-05-19/16:43:51		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:43:51		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:43:51		Finding outliers is a success
2022-05-19/16:43:52		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:43:52		There are no outliers, thus replacing outliers is a success
2022-05-19/16:43:52		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:43:52		Creating New features is a success
2022-05-19/16:43:52		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:43:52		Creating New features is a success
2022-05-19/16:43:52		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:43:52		Entered the trainModel method of the Preprocessor class
2022-05-19/16:43:53		Training different models is a success
2022-05-19/16:43:53		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:43:53		Saving the best model
2022-05-19/16:43:53		Entered the predictingTestData method of the Preprocessor class
2022-05-19/16:45:33		Entered the readDataset method of the Preprocessor class
2022-05-19/16:45:33		Reading data is a success
2022-05-19/16:45:33		Entered the readDataset method of the Preprocessor class
2022-05-19/16:45:33		Reading data is a success
2022-05-19/16:45:33		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:45:33		Finding missing values is a success
2022-05-19/16:45:33		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:45:33		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:45:33		Finding missing values is a success
2022-05-19/16:45:33		There are no null values, thus filling missing values is a success
2022-05-19/16:45:33		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:45:33		Finding outliers is a success
2022-05-19/16:45:33		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:45:33		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:45:33		Finding outliers is a success
2022-05-19/16:45:33		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:45:33		There are no outliers, thus replacing outliers is a success
2022-05-19/16:45:34		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:45:34		Creating New features is a success
2022-05-19/16:45:34		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:45:34		Creating New features is a success
2022-05-19/16:45:34		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:45:34		Entered the trainModel method of the Preprocessor class
2022-05-19/16:45:35		Training different models is a success
2022-05-19/16:45:35		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:45:35		Saving the best model
2022-05-19/16:45:35		Entered the predictingTestData method of the Preprocessor class
2022-05-19/16:46:21		Entered the readDataset method of the Preprocessor class
2022-05-19/16:46:21		Reading data is a success
2022-05-19/16:46:21		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:21		Finding missing values is a success
2022-05-19/16:46:21		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:46:21		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:21		Finding missing values is a success
2022-05-19/16:46:21		There are no null values, thus filling missing values is a success
2022-05-19/16:46:21		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:21		Finding outliers is a success
2022-05-19/16:46:21		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:46:21		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:21		Finding outliers is a success
2022-05-19/16:46:21		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:46:21		There are no outliers, thus replacing outliers is a success
2022-05-19/16:46:21		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:46:21		Creating New features is a success
2022-05-19/16:46:21		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:46:21		Entered the trainModel method of the Preprocessor class
2022-05-19/16:46:22		Training different models is a success
2022-05-19/16:46:23		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:46:23		Saving the best model
2022-05-19/16:46:23		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:46:23		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:46:55		Entered the readDataset method of the Preprocessor class
2022-05-19/16:46:55		Reading data is a success
2022-05-19/16:46:55		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:55		Finding missing values is a success
2022-05-19/16:46:55		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:46:55		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:55		Finding missing values is a success
2022-05-19/16:46:55		There are no null values, thus filling missing values is a success
2022-05-19/16:46:55		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:55		Finding outliers is a success
2022-05-19/16:46:55		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:46:55		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:55		Finding outliers is a success
2022-05-19/16:46:55		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:46:55		There are no outliers, thus replacing outliers is a success
2022-05-19/16:46:55		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:46:55		Creating New features is a success
2022-05-19/16:46:55		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:46:55		Entered the trainModel method of the Preprocessor class
2022-05-19/16:46:56		Training different models is a success
2022-05-19/16:46:57		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:46:57		Saving the best model
2022-05-19/16:46:57		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:46:57		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:47:18		Entered the readDataset method of the Preprocessor class
2022-05-19/16:47:18		Reading data is a success
2022-05-19/16:47:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:47:18		Finding missing values is a success
2022-05-19/16:47:18		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:47:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:47:18		Finding missing values is a success
2022-05-19/16:47:18		There are no null values, thus filling missing values is a success
2022-05-19/16:47:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:47:18		Finding outliers is a success
2022-05-19/16:47:18		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:47:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:47:18		Finding outliers is a success
2022-05-19/16:47:18		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:47:18		There are no outliers, thus replacing outliers is a success
2022-05-19/16:47:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:47:18		Creating New features is a success
2022-05-19/16:47:18		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:47:18		Entered the trainModel method of the Preprocessor class
2022-05-19/16:47:19		Training different models is a success
2022-05-19/16:47:19		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:47:19		Saving the best model
2022-05-19/16:47:19		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:47:19		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:48:39		Entered the readDataset method of the Preprocessor class
2022-05-19/16:48:39		Reading data is a success
2022-05-19/16:48:39		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:48:39		Finding missing values is a success
2022-05-19/16:48:39		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:48:39		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:48:39		Finding missing values is a success
2022-05-19/16:48:39		There are no null values, thus filling missing values is a success
2022-05-19/16:48:39		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:48:39		Finding outliers is a success
2022-05-19/16:48:39		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:48:39		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:48:39		Finding outliers is a success
2022-05-19/16:48:39		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:48:39		There are no outliers, thus replacing outliers is a success
2022-05-19/16:48:39		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:48:39		Creating New features is a success
2022-05-19/16:48:39		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:48:39		Entered the trainModel method of the Preprocessor class
2022-05-19/16:48:40		Training different models is a success
2022-05-19/16:48:41		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:48:41		Saving the best model
2022-05-19/16:48:41		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:48:41		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:57:35		Entered the readDataset method of the Preprocessor class
2022-05-19/16:57:35		Reading data is a success
2022-05-19/16:57:35		Entered the readDataset method of the Preprocessor class
2022-05-19/16:57:35		Reading data is a success
2022-05-19/16:57:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:57:35		Finding missing values is a success
2022-05-19/16:57:35		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:57:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:57:35		Finding missing values is a success
2022-05-19/16:57:35		There are no null values, thus filling missing values is a success
2022-05-19/16:57:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:57:35		Finding outliers is a success
2022-05-19/16:57:35		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:57:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:57:35		Finding outliers is a success
2022-05-19/16:57:35		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:57:35		There are no outliers, thus replacing outliers is a success
2022-05-19/16:57:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:57:35		Creating New features is a success
2022-05-19/16:57:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:57:35		Creating New features is a success
2022-05-19/16:57:35		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:57:35		Entered the trainModel method of the Preprocessor class
2022-05-19/16:57:36		Training different models is a success
2022-05-19/16:57:37		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:57:37		Saving the best model
2022-05-19/16:57:37		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:11:14		Entered the readDataset method of the Preprocessor class
2022-05-19/17:11:14		Reading data is a success
2022-05-19/17:11:14		Entered the readDataset method of the Preprocessor class
2022-05-19/17:11:14		Reading data is a success
2022-05-19/17:11:14		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:11:14		Finding missing values is a success
2022-05-19/17:11:14		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:11:14		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:11:14		Finding missing values is a success
2022-05-19/17:11:14		There are no null values, thus filling missing values is a success
2022-05-19/17:11:14		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:11:14		Finding outliers is a success
2022-05-19/17:11:14		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:11:14		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:11:14		Finding outliers is a success
2022-05-19/17:11:14		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:11:14		There are no outliers, thus replacing outliers is a success
2022-05-19/17:11:14		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:11:14		Creating New features is a success
2022-05-19/17:11:14		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:11:14		Creating New features is a success
2022-05-19/17:11:14		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:11:14		Entered the trainModel method of the Preprocessor class
2022-05-19/17:11:16		Training different models is a success
2022-05-19/17:11:16		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:11:16		Saving the best model
2022-05-19/17:11:16		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:15:02		Entered the readDataset method of the Preprocessor class
2022-05-19/17:15:02		Reading data is a success
2022-05-19/17:15:02		Entered the readDataset method of the Preprocessor class
2022-05-19/17:15:02		Reading data is a success
2022-05-19/17:15:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:15:02		Finding missing values is a success
2022-05-19/17:15:02		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:15:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:15:02		Finding missing values is a success
2022-05-19/17:15:02		There are no null values, thus filling missing values is a success
2022-05-19/17:15:02		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:15:02		Finding outliers is a success
2022-05-19/17:15:02		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:15:02		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:15:02		Finding outliers is a success
2022-05-19/17:15:02		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:15:02		There are no outliers, thus replacing outliers is a success
2022-05-19/17:15:02		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:15:02		Creating New features is a success
2022-05-19/17:15:02		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:15:02		Creating New features is a success
2022-05-19/17:15:02		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:15:02		Entered the trainModel method of the Preprocessor class
2022-05-19/17:15:03		Training different models is a success
2022-05-19/17:15:04		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:15:04		Saving the best model
2022-05-19/17:15:04		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:18:33		Entered the readDataset method of the Preprocessor class
2022-05-19/17:18:33		Reading data is a success
2022-05-19/17:18:33		Entered the readDataset method of the Preprocessor class
2022-05-19/17:18:33		Reading data is a success
2022-05-19/17:18:33		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:18:33		Finding missing values is a success
2022-05-19/17:18:33		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:18:33		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:18:33		Finding missing values is a success
2022-05-19/17:18:33		There are no null values, thus filling missing values is a success
2022-05-19/17:18:33		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:18:33		Finding outliers is a success
2022-05-19/17:18:33		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:18:33		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:18:33		Finding outliers is a success
2022-05-19/17:18:33		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:18:33		There are no outliers, thus replacing outliers is a success
2022-05-19/17:18:33		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:18:33		Creating New features is a success
2022-05-19/17:18:33		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:18:33		Creating New features is a success
2022-05-19/17:18:33		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:18:33		Entered the trainModel method of the Preprocessor class
2022-05-19/17:18:35		Training different models is a success
2022-05-19/17:18:36		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:18:36		Saving the best model
2022-05-19/17:18:36		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:26:17		Entered the readDataset method of the Preprocessor class
2022-05-19/17:26:17		Reading data is a success
2022-05-19/17:26:18		Entered the readDataset method of the Preprocessor class
2022-05-19/17:26:18		Reading data is a success
2022-05-19/17:26:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:26:18		Finding missing values is a success
2022-05-19/17:26:18		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:26:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:26:18		Finding missing values is a success
2022-05-19/17:26:18		There are no null values, thus filling missing values is a success
2022-05-19/17:26:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:26:18		Finding outliers is a success
2022-05-19/17:26:18		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:26:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:26:18		Finding outliers is a success
2022-05-19/17:26:18		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:26:18		There are no outliers, thus replacing outliers is a success
2022-05-19/17:26:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:26:18		Creating New features is a success
2022-05-19/17:26:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:26:18		Creating New features is a success
2022-05-19/17:26:18		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:26:18		Entered the trainModel method of the Preprocessor class
2022-05-19/17:26:19		Training different models is a success
2022-05-19/17:26:20		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:26:20		Saving the best model
2022-05-19/17:26:20		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:27:57		Entered the readDataset method of the Preprocessor class
2022-05-19/17:27:57		Reading data is a success
2022-05-19/17:27:57		Entered the readDataset method of the Preprocessor class
2022-05-19/17:27:57		Reading data is a success
2022-05-19/17:27:57		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:27:57		Finding missing values is a success
2022-05-19/17:27:57		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:27:57		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:27:57		Finding missing values is a success
2022-05-19/17:27:57		There are no null values, thus filling missing values is a success
2022-05-19/17:27:57		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:27:57		Finding outliers is a success
